Epoch,Learning Rate,Train Loss,Validation Loss,Test Accuracy,Test Exp Accuracy,Test Learn Accuracy,Train Accuracy,Perm Train Loss,Perm Test Loss,Perm Train Accuracy,Perm Test Accuracy
1,0.00035,0.6939734282592932,0.6926993529001871,0.55,0.49166666666666664,0.5416666666666666,0.4830729166666667,0.6930834564069907,0.6934515833854675,0.5299479166666666,0.5416666666666666
2,0.00035,0.692598303159078,0.6931100686391195,0.5,0.5,0.5,0.5,0.6932123340666294,0.6929448246955872,0.5,0.5
3,0.00035,0.6932668996353945,0.6929551760355631,0.5,0.5,0.5,0.5,0.6930573880672455,0.6932732462882996,0.5,0.5
4,0.00035,0.6952359738449255,0.6930665969848633,0.4666666666666667,0.5833333333333334,0.5583333333333333,0.5078125,0.6927939628561338,0.6927043199539185,0.5364583333333334,0.5083333333333333
5,0.00035,0.6932000368833542,0.6930174032847086,0.49583333333333335,0.49166666666666664,0.5083333333333333,0.5078125,0.6929707912107309,0.6927489638328552,0.4947916666666667,0.5208333333333334
6,0.00035,0.6928491989771525,0.6926837762196859,0.5083333333333333,0.5,0.5,0.5065104166666666,0.6930362259348234,0.6927499175071716,0.5013020833333334,0.49583333333333335
7,0.00035,0.6933778462310632,0.6933416525522867,0.5166666666666667,0.55,0.5083333333333333,0.4973958333333333,0.692984459300836,0.6925418376922607,0.515625,0.5375
8,0.00035,0.6942430312434832,0.6929587523142496,0.5083333333333333,0.5583333333333333,0.5166666666666667,0.515625,0.6929804421961308,0.6924723386764526,0.53125,0.4791666666666667
9,0.00035,0.6932223824163278,0.6917761166890463,0.5375,0.5416666666666666,0.55,0.5208333333333334,0.6927388720214367,0.6926347613334656,0.5390625,0.5541666666666667
10,0.00035,0.6931337080895901,0.6935335000356039,0.5208333333333334,0.525,0.5416666666666666,0.5338541666666666,0.6924425773322582,0.692774772644043,0.54296875,0.5208333333333334
11,0.00035,0.6949083569149176,0.6930292447408041,0.5291666666666667,0.5166666666666667,0.475,0.51171875,0.6923357422153155,0.6919969916343689,0.51171875,0.5708333333333333
12,0.00035,0.6941156176229318,0.6918214162190756,0.5583333333333333,0.5083333333333333,0.6,0.5026041666666666,0.6919427526493868,0.6922394633293152,0.5221354166666666,0.5208333333333334
13,0.00035,0.6936251781880856,0.6932857036590576,0.525,0.55,0.6166666666666667,0.5234375,0.692153699696064,0.6922426223754883,0.5013020833333334,0.525
14,0.00035,0.6918268750111262,0.6910653114318848,0.5583333333333333,0.5,0.5583333333333333,0.5442708333333334,0.6915442496538162,0.6930097937583923,0.5403645833333334,0.55
15,0.00035,0.6926460588971773,0.6929983297983805,0.49583333333333335,0.5666666666666667,0.5583333333333333,0.55078125,0.6915133558213711,0.6913171410560608,0.54296875,0.5625
16,0.00035,0.6932652555406094,0.690690279006958,0.5083333333333333,0.5666666666666667,0.5666666666666667,0.5455729166666666,0.6923400474091371,0.6932187676429749,0.5403645833333334,0.5375
17,0.00035,0.6921416732172171,0.6925183137257894,0.575,0.5583333333333333,0.5666666666666667,0.5260416666666666,0.6927164904773235,0.6907843351364136,0.48828125,0.5083333333333333
18,0.00035,0.6908386449019114,0.6903291543324789,0.4791666666666667,0.4583333333333333,0.525,0.5013020833333334,0.6923971250653267,0.6926431059837341,0.5390625,0.475
19,0.00035,0.6905493922531605,0.6913183530171713,0.5208333333333334,0.5333333333333333,0.575,0.5651041666666666,0.6908248886466026,0.6902834177017212,0.5364583333333334,0.575
20,0.00035,0.6929993567367395,0.6924030780792236,0.5541666666666667,0.5166666666666667,0.5,0.5091145833333334,0.6929587324460348,0.6915016770362854,0.5221354166666666,0.5083333333333333
21,0.00035,0.6933969544867674,0.6916293303171793,0.5458333333333333,0.525,0.49166666666666664,0.5442708333333334,0.6916136220097542,0.6911254525184631,0.5533854166666666,0.55
22,0.00035,0.6930797298749288,0.690824826558431,0.575,0.575,0.49166666666666664,0.5455729166666666,0.6913004107773304,0.6910533905029297,0.56640625,0.5708333333333333
23,0.00035,0.6912632075448831,0.691506544748942,0.5166666666666667,0.5916666666666667,0.6166666666666667,0.5403645833333334,0.6909504979848862,0.6905393004417419,0.5533854166666666,0.5791666666666667
24,0.00035,0.6936922123034795,0.6912182966868082,0.5291666666666667,0.525,0.475,0.5182291666666666,0.6906606604655584,0.691168487071991,0.546875,0.5166666666666667
25,0.00035,0.6904160939157009,0.6901365121205648,0.525,0.5083333333333333,0.44166666666666665,0.53125,0.6911523826420307,0.6941362619400024,0.5299479166666666,0.49166666666666664
26,0.00035,0.6887521023551623,0.6880845228830973,0.5416666666666666,0.5916666666666667,0.49166666666666664,0.5455729166666666,0.690266128629446,0.6903873085975647,0.5859375,0.5916666666666667
27,0.00035,0.6920007665952047,0.6910955111185709,0.5166666666666667,0.5166666666666667,0.6166666666666667,0.5559895833333334,0.6910483054816723,0.6874362230300903,0.5416666666666666,0.525
28,0.00035,0.6920182406902313,0.6905020872751871,0.5291666666666667,0.5416666666666666,0.5333333333333333,0.5494791666666666,0.6898840392629305,0.6911558508872986,0.5364583333333334,0.5291666666666667
29,0.00035,0.6898353919386864,0.689127524693807,0.5666666666666667,0.5583333333333333,0.6166666666666667,0.5703125,0.6887847346564134,0.6899451613426208,0.5859375,0.5666666666666667
30,0.00035,0.691039522488912,0.6876084009806315,0.5333333333333333,0.525,0.5083333333333333,0.5260416666666666,0.6892421382168928,0.6894146800041199,0.5403645833333334,0.5583333333333333
31,0.00035,0.6906080233554045,0.6911828517913818,0.5833333333333334,0.525,0.55,0.54296875,0.6888277319570383,0.6857314705848694,0.55078125,0.5125
32,0.00035,0.6940362354119619,0.6891782283782959,0.5541666666666667,0.55,0.6333333333333333,0.5247395833333334,0.6877528416613737,0.688532292842865,0.55859375,0.5375
33,0.00035,0.6908068644503752,0.6906130313873291,0.575,0.5166666666666667,0.5666666666666667,0.5859375,0.6915851421654224,0.6892750859260559,0.5572916666666666,0.5625
