Epoch,Learning Rate,Train Loss,Validation Loss,Test Accuracy,Test Exp Accuracy,Test Learn Accuracy,Train Accuracy,Perm Train Loss,Perm Test Loss,Perm Train Accuracy,Perm Test Accuracy
1,0.00035,0.6500082875059295,0.6719927272477287,1.0,1.0,1.0,0.21892816419612315,0.6976172191673242,0.6727765243128848,0.3746958637469586,1.0
2,0.00035,0.5375603836826932,0.9504396621495077,0.0,0.0,0.0,0.7818320030406689,0.6517996979455878,0.9527221857196223,0.6256082725060828,0.0
3,0.00035,0.5191655719928169,1.363480427130898,0.0,0.0,0.0,0.7818320030406689,0.68517533561029,1.3830744437057607,0.6256082725060828,0.0
4,0.00035,0.509430016142839,1.701038610263865,0.0,0.0,0.0,0.7818320030406689,0.7532007085145825,1.707608613654645,0.6256082725060828,0.0
5,0.00035,0.4897554260793633,1.8557759231265458,0.0,0.0,0.0,0.7818320030406689,0.7888134706339407,1.869145471394207,0.6256082725060828,0.0012165450121654502
6,0.00035,0.4742405593440543,1.8886514834980261,0.0024330900243309003,0.004878048780487805,0.0048543689320388345,0.7825921702774611,0.7923436164855957,1.8923819540770965,0.6262165450121655,0.0036496350364963502
7,0.00035,0.4729247572235352,1.6526013610932744,0.0170316301703163,0.02195121951219512,0.012135922330097087,0.7894336754085899,0.714693893481345,1.6550996706723586,0.6316909975669099,0.019464720194647202
8,0.00035,0.4604330569879495,1.729778736875119,0.021897810218978103,0.02195121951219512,0.024271844660194174,0.7856328392246295,0.7251502714888023,1.7519033280022243,0.6389902676399026,0.0267639902676399
9,0.00035,0.4505606961427012,1.795747707604999,0.049878345498783457,0.05121951219512195,0.04611650485436893,0.7932345115925503,0.7438983596734466,1.8581877781526885,0.6487226277372263,0.0413625304136253
10,0.00035,0.44050527047132276,1.650499875142694,0.07907542579075426,0.07317073170731707,0.10679611650485436,0.8012162675788673,0.6895499478871515,1.6675283291044027,0.6630170316301703,0.07542579075425791
11,0.00035,0.43258112405063265,1.688700218723245,0.11070559610705596,0.13170731707317074,0.10922330097087378,0.8053971873812239,0.6923167901317568,1.7215330177270003,0.6782238442822385,0.11557177615571776
12,0.00035,0.42017690808498465,1.2841192097424372,0.2773722627737226,0.2951219512195122,0.27427184466019416,0.8129988597491448,0.5868372816383983,1.3323197982607096,0.7141119221411192,0.2749391727493917
13,0.00035,0.4143239358268007,1.5683863623864394,0.20316301703163017,0.23170731707317074,0.2111650485436893,0.8129988597491448,0.644204832921643,1.620901610729468,0.7043795620437956,0.21897810218978103
14,0.00035,0.4073153306032396,1.4425686120624048,0.2737226277372263,0.275609756097561,0.27427184466019416,0.8270619536297985,0.6170737341662683,1.4795283743354817,0.7208029197080292,0.2712895377128954
15,0.00035,0.3993664541565298,1.4956263247508799,0.26277372262773724,0.26097560975609757,0.24514563106796117,0.8206005321170657,0.6219316488924977,1.576053518158386,0.7204987834549879,0.2688564476885645
16,0.00035,0.3987035602954167,1.5371115116949676,0.305352798053528,0.2975609756097561,0.30097087378640774,0.8320030406689471,0.6231874442158535,1.564110991148473,0.7284063260340633,0.2737226277372263
17,0.00035,0.39139103377468004,1.3649211633876759,0.33454987834549876,0.36585365853658536,0.32038834951456313,0.8373242113264918,0.5797602263100246,1.432215625352233,0.7417883211678832,0.34549878345498786
