Epoch,Learning Rate,Train Loss,Validation Loss,Test Accuracy,Test Exp Accuracy,Test Learn Accuracy,Train Accuracy,Perm Train Loss,Perm Test Loss,Perm Train Accuracy,Perm Test Accuracy
1,0.00035,0.7024629736940066,0.6936883131663004,0.5,0.5,0.5,0.5,0.6936766269306341,0.6936625838279724,0.5,0.5
2,0.00035,0.6944184489548206,0.6940124829610189,0.5,0.5,0.5,0.5,0.6939873596032461,0.6940333843231201,0.5,0.5
3,0.00035,0.7017333097755909,0.6943308512369791,0.5,0.5,0.5,0.5,0.6943735368549824,0.6944053769111633,0.5,0.5
4,0.00035,0.6947469164927801,0.6951035658518473,0.5,0.5,0.5,0.5,0.6949973255395889,0.6949341297149658,0.5,0.5
5,0.00035,0.6889460782210032,0.694766124089559,0.5,0.5,0.5,0.5,0.6943563148379326,0.694205641746521,0.5,0.5
6,0.00035,0.6943318272630373,0.6953991254170736,0.5,0.5,0.5,0.5,0.6946665123105049,0.6940394043922424,0.5,0.5
7,0.00035,0.6948396041989326,0.6955992380777994,0.5,0.5,0.5,0.5,0.6940685175359249,0.693023681640625,0.5,0.5
8,0.00035,0.7016405835747719,0.6931885878245035,0.5,0.48333333333333334,0.5,0.5052083333333334,0.6947086453437805,0.6929185390472412,0.5026041666666666,0.49583333333333335
9,0.00035,0.6932635965446631,0.6944889227549235,0.5083333333333333,0.525,0.5,0.5130208333333334,0.6923999177912871,0.6934573650360107,0.4908854166666667,0.49166666666666664
10,0.00035,0.6968757795790831,0.6950987180074056,0.5,0.49166666666666664,0.5083333333333333,0.5078125,0.693350243071715,0.6917686462402344,0.4973958333333333,0.5
11,0.00035,0.6883860230445862,0.6939873695373535,0.49583333333333335,0.475,0.5166666666666667,0.4973958333333333,0.6939442257086436,0.6944280862808228,0.5026041666666666,0.5125
12,0.00035,0.6989212160309156,0.6936051845550537,0.5125,0.48333333333333334,0.5166666666666667,0.4908854166666667,0.6933798082172871,0.6941388845443726,0.5013020833333334,0.5041666666666667
13,0.00035,0.6942688710987568,0.6947619120279948,0.4791666666666667,0.475,0.49166666666666664,0.4934895833333333,0.6953645311295986,0.6928843259811401,0.4986979166666667,0.5166666666666667
14,0.00035,0.6954523834089438,0.69533904393514,0.5,0.5,0.49166666666666664,0.49609375,0.6938421316444874,0.6949006915092468,0.4830729166666667,0.4708333333333333
15,0.00035,0.6923627220094204,0.6947171688079834,0.5041666666666667,0.5,0.5083333333333333,0.5065104166666666,0.6953831128776073,0.695001482963562,0.50390625,0.4791666666666667
16,0.00035,0.6972297392785549,0.6971938610076904,0.5125,0.49166666666666664,0.48333333333333334,0.4986979166666667,0.6961404792964458,0.6967400908470154,0.5,0.5041666666666667
17,0.00035,0.6939291730523109,0.6965798536936442,0.5125,0.48333333333333334,0.5,0.5026041666666666,0.6948077629009882,0.6947093605995178,0.5,0.49583333333333335
18,0.00035,0.6962381117045879,0.6988033453623453,0.5083333333333333,0.5083333333333333,0.49166666666666664,0.4921875,0.6950122912724813,0.695094645023346,0.5143229166666666,0.4708333333333333
19,0.00035,0.6934528350830078,0.6939418315887451,0.5166666666666667,0.49166666666666664,0.4583333333333333,0.5013020833333334,0.6941463102897009,0.693760871887207,0.4869791666666667,0.5208333333333334
20,0.00035,0.6972751195232073,0.6963535944620768,0.48333333333333334,0.44166666666666665,0.5416666666666666,0.4973958333333333,0.694033682346344,0.6949569582939148,0.4700520833333333,0.5166666666666667
21,0.00035,0.6958560459315777,0.6959694226582845,0.525,0.525,0.5,0.4778645833333333,0.6946245258053144,0.6950605511665344,0.5052083333333334,0.5166666666666667
22,0.00035,0.6919633063177267,0.6964801152547201,0.5125,0.5166666666666667,0.475,0.5013020833333334,0.6927981972694397,0.6966609954833984,0.5169270833333334,0.5291666666666667
23,0.00035,0.6931381610532602,0.6935354868570963,0.5083333333333333,0.49166666666666664,0.49166666666666664,0.5078125,0.6951330391069254,0.6951896548271179,0.5,0.5
24,0.00035,0.6922565748294195,0.6987555821736654,0.49166666666666664,0.48333333333333334,0.5416666666666666,0.4986979166666667,0.6947150826454163,0.6943470239639282,0.5013020833333334,0.5
25,0.00035,0.6924640958507856,0.6957150300343832,0.5,0.5083333333333333,0.5,0.5052083333333334,0.6951968458791574,0.694113552570343,0.49609375,0.5041666666666667
26,0.00035,0.6890333779156208,0.6949533621470133,0.5083333333333333,0.5,0.49166666666666664,0.4973958333333333,0.6936685107648373,0.6938886642456055,0.5169270833333334,0.5208333333333334
27,0.00035,0.690529253333807,0.6947549184163412,0.5125,0.5416666666666666,0.49166666666666664,0.4921875,0.6951419028143088,0.6975992321968079,0.5,0.5
28,0.00035,0.6920779682695866,0.694338321685791,0.5125,0.5666666666666667,0.55,0.5182291666666666,0.691791657358408,0.6921136975288391,0.51171875,0.5041666666666667
29,0.00035,0.6908168643712997,0.6918580532073975,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.53125,0.6918122892578443,0.694568932056427,0.5299479166666666,0.5666666666666667
30,0.00035,0.6867130200068156,0.6943534215291342,0.5333333333333333,0.4666666666666667,0.5666666666666667,0.51953125,0.693051666021347,0.6946003437042236,0.5455729166666666,0.49166666666666664
31,0.00035,0.6886432009438673,0.6915789445241293,0.4666666666666667,0.48333333333333334,0.45,0.4986979166666667,0.693742231776317,0.6939888000488281,0.49609375,0.5125
32,0.00035,0.6936932913959026,0.6943771839141846,0.5,0.49166666666666664,0.48333333333333334,0.4986979166666667,0.6948086606959502,0.6956750750541687,0.5026041666666666,0.49583333333333335
33,0.00035,0.6915678655107816,0.6958098411560059,0.49583333333333335,0.5,0.5,0.5,0.6945198041697344,0.6981303691864014,0.4934895833333333,0.49583333333333335
34,0.00035,0.6897949005166689,0.6968622207641602,0.49583333333333335,0.49166666666666664,0.5,0.49609375,0.6941993782917658,0.6977719664573669,0.5026041666666666,0.4791666666666667
35,0.00035,0.690265787144502,0.6965177853902181,0.5166666666666667,0.49166666666666664,0.49166666666666664,0.50390625,0.6935490990678469,0.692712664604187,0.5,0.49166666666666664
36,0.00035,0.6841669616599878,0.6925396124521891,0.5,0.475,0.49166666666666664,0.5078125,0.6938586048781872,0.6928938031196594,0.5052083333333334,0.5041666666666667
