Epoch,Learning Rate,Train Loss,Validation Loss,Test Accuracy,Test Exp Accuracy,Test Learn Accuracy,Train Accuracy,Perm Train Loss,Perm Test Loss,Perm Train Accuracy,Perm Test Accuracy
1,0.00035,0.6991008172432581,0.6938059329986572,0.5,0.5,0.5,0.5,0.6937546767294407,0.6937774419784546,0.5,0.5
2,0.00035,0.6936352526148161,0.6938788096110026,0.5,0.5,0.5,0.5,0.6937328378359476,0.6936976909637451,0.5,0.5
3,0.00035,0.6942659517129263,0.6937102476755778,0.5,0.5,0.5,0.5,0.6937391969064871,0.6936789155006409,0.5,0.5
4,0.00035,0.6933198434611162,0.6932857036590576,0.5,0.5,0.5,0.5,0.6932685412466526,0.6933419704437256,0.5,0.5
5,0.00035,0.6920388154685497,0.6936735312143961,0.5,0.5,0.5,0.5,0.6937007841964563,0.6936879754066467,0.5,0.5
6,0.00035,0.6937481785813967,0.6931079228719076,0.5,0.5,0.5,0.5,0.6931648130218188,0.6931821703910828,0.5,0.5
7,0.00035,0.6946629658341408,0.6935155391693115,0.5,0.5,0.5,0.5,0.693450095752875,0.6934402585029602,0.5,0.5
8,0.00035,0.6963563101987044,0.6932716369628906,0.5,0.5,0.5,0.5,0.6932852603495121,0.6932889223098755,0.5,0.5
9,0.00035,0.6958068534731865,0.6932108402252197,0.5,0.5,0.5,0.5,0.6931758696834246,0.6931448578834534,0.5,0.5
10,0.00035,0.6920023957888285,0.6933768590291342,0.5,0.5,0.5,0.5,0.693365411212047,0.6932271718978882,0.5,0.5
11,0.00035,0.6934151736398538,0.6931143601735433,0.5,0.5,0.5,0.5,0.6931012819210688,0.6930791139602661,0.5,0.5
12,0.00035,0.6929106265306473,0.6931126117706299,0.5,0.5,0.5,0.5,0.693159477164348,0.6931390762329102,0.5,0.5
13,0.00035,0.6944904091457526,0.6931032339731852,0.5,0.5,0.5,0.5,0.6931328065693378,0.6931370496749878,0.5,0.5
14,0.00035,0.6949558419485887,0.6931479771931967,0.5,0.5,0.5,0.5,0.6930853463709354,0.6930601000785828,0.5,0.5
15,0.00035,0.6952807443837324,0.693036953608195,0.5,0.5,0.5,0.5,0.6931116928656896,0.6931701898574829,0.5,0.5
16,0.00035,0.6908682907621065,0.69315505027771,0.5,0.5,0.5,0.5,0.6931895116964976,0.6931783556938171,0.5,0.5
17,0.00035,0.6944873258471489,0.6931535402933756,0.5,0.5,0.5,0.5,0.693160438289245,0.6929742693901062,0.5,0.5
18,0.00035,0.6925997746487459,0.6930387814839681,0.5,0.5,0.5,0.50390625,0.6930230880777041,0.6930583715438843,0.5026041666666666,0.5
19,0.00035,0.6957122633854548,0.6931352615356445,0.49166666666666664,0.49166666666666664,0.5,0.5377604166666666,0.6930304405589899,0.6929412484169006,0.5052083333333334,0.5458333333333333
20,0.00035,0.6963202121357123,0.6932408014933268,0.5,0.5,0.5,0.5,0.6930737160146236,0.693157434463501,0.5,0.5
