Epoch,Learning Rate,Train Loss,Validation Loss,Test Accuracy,Test Exp Accuracy,Test Learn Accuracy,Train Accuracy,Perm Train Loss,Perm Test Loss,Perm Train Accuracy,Perm Test Accuracy
1,0.00035,0.7037039523323377,0.6933347384134928,0.5,0.5,0.5,0.5,0.6933527899285158,0.693359375,0.5,0.5
2,0.00035,0.695862685640653,0.6933806737263998,0.5,0.5,0.5,0.5,0.6933538640538851,0.693375289440155,0.5,0.5
3,0.00035,0.693034773071607,0.6932694911956787,0.5,0.5,0.5,0.5,0.6932718815902869,0.6932493448257446,0.5,0.5
4,0.00035,0.6939387830595175,0.6928731600443522,0.5,0.5,0.5,0.5,0.6927996960779031,0.6929402947425842,0.5013020833333334,0.5
5,0.00035,0.6911800180872282,0.6929385662078857,0.5416666666666666,0.4666666666666667,0.525,0.51953125,0.692818726102511,0.6930025219917297,0.5182291666666666,0.5625
6,0.00035,0.6865516665081183,0.6929263273874918,0.5,0.5,0.5,0.5013020833333334,0.6920759739975134,0.6928299069404602,0.5013020833333334,0.5
7,0.00035,0.6861491873860359,0.694471518198649,0.5,0.5,0.5,0.5,0.694276594867309,0.6950811743736267,0.5,0.5
8,0.00035,0.6850692840913931,0.694364865620931,0.5,0.5,0.5,0.5,0.6942577759424845,0.6951896548271179,0.5,0.5
9,0.00035,0.6832707983752092,0.6965648333231608,0.5,0.5,0.5,0.5,0.696514293551445,0.6964803338050842,0.5,0.5
10,0.00035,0.68080456306537,0.6963051954905192,0.5,0.5,0.5,0.5,0.6996617875993252,0.6997421979904175,0.5,0.5
11,0.00035,0.6793826147913933,0.7021609942118326,0.5,0.5,0.5,0.5,0.7006275504827499,0.7016119360923767,0.4986979166666667,0.5
12,0.00035,0.677733855942885,0.7024843692779541,0.5,0.5,0.5,0.5013020833333334,0.7036487832665443,0.7026787400245667,0.5,0.5
13,0.00035,0.6748433882991473,0.7004165649414062,0.5,0.5,0.5,0.5,0.7025476396083832,0.7006046772003174,0.5,0.5
14,0.00035,0.6706961964567503,0.699695348739624,0.5,0.5,0.5,0.5,0.7029339397946993,0.7035978436470032,0.5,0.5
15,0.00035,0.6648013976713022,0.7035973866780599,0.5,0.5,0.5,0.5,0.7069260068237782,0.709446370601654,0.5,0.5
