Epoch,Learning Rate,Train Loss,Validation Loss,Test Accuracy,Test Exp Accuracy,Test Learn Accuracy,Train Accuracy,Perm Train Loss,Perm Test Loss,Perm Train Accuracy,Perm Test Accuracy
1,0.00035,0.6993868661423525,0.6975193023681641,0.5,0.5,0.5,0.5,0.6975606381893158,0.6976210474967957,0.5,0.5
2,0.00035,0.6980341710150242,0.6960646311442057,0.5,0.5,0.5,0.5,0.696019884198904,0.6959380507469177,0.5,0.5
3,0.00035,0.6953085189064344,0.6946958700815836,0.5,0.5,0.5,0.5,0.6946943402290344,0.6947307586669922,0.5,0.5
4,0.00035,0.6952463847895464,0.6938451131184896,0.5,0.5,0.5,0.5,0.6938928825159868,0.6938772797584534,0.5,0.5
5,0.00035,0.6953362822532654,0.6934405962626139,0.5,0.5,0.5,0.5,0.6934348133703073,0.6933587789535522,0.5,0.5
6,0.00035,0.6934939933319887,0.6931371688842773,0.5,0.5,0.5,0.5,0.6932258593539397,0.693168044090271,0.5,0.5
7,0.00035,0.6925950932006041,0.6932260195414225,0.5,0.5,0.5,0.5,0.6931458599865437,0.693108856678009,0.5013020833333334,0.5
8,0.00035,0.6938894080619017,0.6931958198547363,0.5,0.5,0.5,0.5,0.6932031934460005,0.6931248903274536,0.5,0.5
9,0.00035,0.6938516721129417,0.6932625770568848,0.5,0.5,0.5,0.5,0.6932676831881205,0.6932441592216492,0.5,0.5
10,0.00035,0.6932510174810886,0.6933452288309733,0.5,0.5,0.5,0.5,0.6933131168286005,0.6932886838912964,0.5,0.5
11,0.00035,0.6907433035473028,0.6932847499847412,0.5,0.5,0.5,0.5,0.6932956365247568,0.6933363676071167,0.5,0.5
12,0.00035,0.6935544187823931,0.69331955909729,0.5,0.5,0.5,0.5,0.6932995455960432,0.6932817101478577,0.5,0.5
13,0.00035,0.6937368077536424,0.6932560602823893,0.5,0.5,0.5,0.5,0.6932691348095735,0.6932764053344727,0.5,0.5
14,0.00035,0.6941527053713799,0.693213701248169,0.5,0.5,0.5,0.5,0.6931784761448702,0.6931522488594055,0.5,0.5
15,0.00035,0.6945336485902468,0.6931341489156088,0.5,0.5,0.5,0.5,0.6931507227321466,0.6931110620498657,0.5,0.5
16,0.00035,0.6945121822257837,0.693077802658081,0.5208333333333334,0.6,0.5083333333333333,0.515625,0.6931347710390886,0.6931430697441101,0.5221354166666666,0.5416666666666666
17,0.00035,0.6923303753137589,0.6931864420572916,0.5,0.5,0.5,0.5,0.6931540419658025,0.6931200623512268,0.5,0.5
18,0.00035,0.6937934110562006,0.6931517918904623,0.5,0.5,0.5,0.5,0.6931576691567898,0.6931473612785339,0.5,0.5
19,0.00035,0.6942165084183216,0.6932084560394287,0.5,0.5,0.5,0.5,0.6931349784135818,0.6931747198104858,0.5,0.5
20,0.00035,0.6917033307254314,0.6931294600168864,0.5,0.5,0.5,0.5,0.6931453583141168,0.693182110786438,0.5,0.5
21,0.00035,0.692161629597346,0.693142811457316,0.5,0.5,0.5,0.5,0.6931573177377383,0.6932002902030945,0.5,0.5
22,0.00035,0.693471991767486,0.6931636333465576,0.5,0.5,0.5,0.5,0.6931400336325169,0.6931692361831665,0.5,0.5
23,0.00035,0.695815929522117,0.6931807200113932,0.5,0.5,0.5,0.5,0.6931230959792932,0.6931399703025818,0.5,0.5
24,0.00035,0.6942277972896894,0.693127711613973,0.5,0.5,0.5,0.5,0.693112064152956,0.6931001543998718,0.5,0.5
25,0.00035,0.6946632439891497,0.6931484540303549,0.5,0.5,0.5,0.5,0.6931896929939588,0.6930778622627258,0.5,0.5
26,0.00035,0.6922145361701647,0.6931222279866537,0.5,0.5,0.5,0.5,0.6931496026615301,0.69309401512146,0.5,0.5
27,0.00035,0.6945505191882452,0.6931626796722412,0.5,0.5,0.5,0.5,0.6931312022109827,0.6931491494178772,0.5,0.5
28,0.00035,0.6914006434381008,0.6931357383728027,0.5,0.5,0.5,0.5,0.6931392761568228,0.6930628418922424,0.5,0.5
29,0.00035,0.6934801874061426,0.6931093533833822,0.5,0.5,0.5,0.5,0.6931236336628596,0.6930913329124451,0.5,0.5
30,0.00035,0.6942810987432798,0.6931029160817465,0.5,0.5,0.5,0.5,0.6930656842887402,0.6930720806121826,0.5,0.5
31,0.00035,0.6935457636912664,0.6930453777313232,0.5,0.5,0.5,0.5,0.6930892206728458,0.6932315826416016,0.5,0.5
32,0.00035,0.6955758618811766,0.69305419921875,0.5,0.5,0.5,0.5,0.6930954158306122,0.6931325197219849,0.5,0.5
33,0.00035,0.693594383696715,0.6931080023447672,0.5,0.5,0.5,0.5,0.6930955648422241,0.6930971145629883,0.5,0.5
34,0.00035,0.6931522451341152,0.6930656433105469,0.5,0.5,0.5,0.5,0.6930654669801394,0.6931219696998596,0.5,0.5
35,0.00035,0.6928979431589445,0.6930155754089355,0.5,0.5,0.5,0.5,0.6930737619598707,0.6930989623069763,0.5,0.5
36,0.00035,0.6932003051042557,0.6931165059407552,0.5,0.5,0.5,0.5,0.6930879900852839,0.6930379867553711,0.5,0.5
37,0.00035,0.6937750491003195,0.6930623054504395,0.5,0.5,0.5,0.5,0.6931128005186716,0.6930602192878723,0.5,0.5
38,0.00035,0.6939720772206783,0.6929395198822021,0.5,0.5,0.5,0.5,0.6931098066270351,0.6929836869239807,0.5,0.5
39,0.00035,0.6922722794115543,0.6930291652679443,0.5,0.5,0.5,0.5,0.693044071396192,0.6929610967636108,0.5,0.5
40,0.00035,0.6922179174919924,0.6930156548817953,0.5125,0.5,0.5,0.50390625,0.6930547716716925,0.6931358575820923,0.5,0.5
41,0.00035,0.6931826223929723,0.6930378278096517,0.5083333333333333,0.55,0.525,0.5234375,0.6930709133545557,0.693126916885376,0.5286458333333334,0.5166666666666667
42,0.00035,0.6934628138939539,0.6931095123291016,0.5666666666666667,0.48333333333333334,0.575,0.5221354166666666,0.693010880301396,0.693094789981842,0.5221354166666666,0.5916666666666667
43,0.00035,0.6930648374060789,0.6928627490997314,0.5166666666666667,0.49166666666666664,0.5416666666666666,0.578125,0.6930331364274025,0.693048357963562,0.53515625,0.5708333333333333
44,0.00035,0.6938904176155726,0.6929460366566976,0.575,0.5166666666666667,0.49166666666666664,0.55859375,0.6930396445095539,0.6931897401809692,0.5390625,0.5625
45,0.00035,0.693800133963426,0.6929859320322672,0.49166666666666664,0.5,0.5,0.4973958333333333,0.6930831695596377,0.6929457783699036,0.50390625,0.5
46,0.00035,0.694924163321654,0.6929998397827148,0.5,0.5,0.5,0.5,0.6929691284894943,0.692916989326477,0.5,0.5
47,0.00035,0.6948027287920316,0.6930096944173177,0.5,0.5,0.5,0.5,0.6930139921605587,0.692912757396698,0.5,0.5
48,0.00035,0.6930917898813883,0.6930828094482422,0.5,0.5,0.5,0.5,0.6929423560698827,0.6929405331611633,0.5,0.5
49,0.00035,0.6928948859373728,0.6930553913116455,0.5,0.5,0.5,0.5,0.692978365967671,0.6930328011512756,0.5,0.5
50,0.00035,0.6943940234680971,0.6929541428883871,0.5,0.5,0.5,0.5,0.692955020815134,0.6930360198020935,0.5,0.5
51,0.00035,0.6924731619656086,0.6929380098978678,0.5,0.5,0.5,0.5,0.6930180328587691,0.6930058598518372,0.5,0.5
52,0.00035,0.6939719108243784,0.6931320031483968,0.5,0.5,0.5,0.5,0.6929127524296442,0.6929295063018799,0.5,0.5
53,0.00035,0.6933911728362242,0.6927778720855713,0.5,0.5,0.5,0.5,0.6928507362802824,0.6930015683174133,0.5,0.5
54,0.00035,0.6927815154194832,0.6928267478942871,0.5,0.5,0.5,0.5,0.6928038795789083,0.6930787563323975,0.5,0.5
55,0.00035,0.6925105899572372,0.6927765210469564,0.5,0.5,0.5,0.5,0.6929451239605745,0.6930496096611023,0.5,0.5
56,0.00035,0.6932253129780293,0.6926383972167969,0.5,0.5,0.5,0.5,0.6926547214388847,0.6926215291023254,0.5,0.5
57,0.00035,0.6933799510200819,0.6929022471110026,0.49166666666666664,0.5083333333333333,0.475,0.5052083333333334,0.6927797409395376,0.6929624676704407,0.5091145833333334,0.5166666666666667
58,0.00035,0.6919600528975328,0.6930180390675863,0.5083333333333333,0.5083333333333333,0.6,0.5234375,0.692908238619566,0.6928885579109192,0.5143229166666666,0.5125
59,0.00035,0.6937622341016928,0.6925028959910074,0.525,0.49166666666666664,0.55,0.5013020833333334,0.6929050187269846,0.6925703287124634,0.4830729166666667,0.5208333333333334
60,0.00035,0.6920208682616552,0.6925108432769775,0.55,0.5166666666666667,0.5916666666666667,0.55859375,0.6927792777617773,0.6926365494728088,0.5364583333333334,0.55
61,0.00035,0.6933465848366419,0.6928806304931641,0.5375,0.5333333333333333,0.5833333333333334,0.5625,0.692448894182841,0.6924831867218018,0.5416666666666666,0.5333333333333333
62,0.00035,0.6930345507959524,0.6921510696411133,0.5458333333333333,0.6083333333333333,0.5916666666666667,0.5299479166666666,0.692487516750892,0.6928502321243286,0.5598958333333334,0.5541666666666667
63,0.00035,0.6925112555424372,0.6930913925170898,0.4625,0.575,0.49166666666666664,0.5481770833333334,0.6927251381178697,0.692318856716156,0.5364583333333334,0.5291666666666667
64,0.00035,0.693057719618082,0.6919532616933187,0.5333333333333333,0.5,0.5666666666666667,0.5143229166666666,0.6924013172586759,0.6929126977920532,0.5247395833333334,0.5416666666666666
65,0.00035,0.6929312137266,0.6927769184112549,0.5125,0.5333333333333333,0.55,0.4895833333333333,0.6920046582818031,0.6925840377807617,0.484375,0.5
66,0.00035,0.6919895894825459,0.6919796466827393,0.5125,0.49166666666666664,0.5083333333333333,0.5013020833333334,0.6920381051798662,0.6923794150352478,0.5143229166666666,0.5041666666666667
67,0.00035,0.6933563587566217,0.6921435197194418,0.5041666666666667,0.5,0.5,0.49609375,0.6929534847537676,0.6917290091514587,0.4947916666666667,0.5
68,0.00035,0.6925641236205896,0.692330519358317,0.49583333333333335,0.5083333333333333,0.48333333333333334,0.50390625,0.6920021908978621,0.6913132071495056,0.5,0.5
69,0.00035,0.6924160458147526,0.692487637201945,0.49166666666666664,0.525,0.5,0.4921875,0.6924215455849966,0.69124436378479,0.5026041666666666,0.49583333333333335
70,0.00035,0.6914875569442908,0.6911709308624268,0.525,0.5666666666666667,0.5333333333333333,0.5130208333333334,0.6916536254187425,0.6920741200447083,0.5143229166666666,0.5458333333333333
71,0.00035,0.6939136572182178,0.6909348169962565,0.5333333333333333,0.5166666666666667,0.525,0.52734375,0.6914175314207872,0.6918444037437439,0.5716145833333334,0.5583333333333333
